batch,cores,dram,runtime_cycles,per_core_ipc,n_cores_observed,n_cores_expected,active_channels,total_channels,avg_read_latency_ns,avg_read_queue_len,row_hit_rate,total_read_reqs,read_bw_gbs,power,llc_assoc
1,1,ddr4,124382912,1.0896725106419762,1,1,1,1,19.65018390906016,0.078158,0.9727581860820386,1156017,1.9034148484962305,0.09686498901512154,8
1,2,ddr4,126470717,1.0716839693412983,2,2,1,1,20.354189591703463,0.190875,0.9677873450129525,2312290,3.744400310468707,0.1839621417300228,8
1,3,ddr4,126437610,1.071964583955676,3,3,1,1,20.336303197122607,0.290581,0.9729188502081647,3470089,5.620750243539086,0.2763899706380444,6
1,4,ddr4,127191178,1.0656135286363964,4,4,1,1,20.468833922003135,0.401734,0.9735882546409373,4636725,7.465936670544871,0.3647465556168934,8
1,5,ddr4,126855437,1.0684338267661322,5,5,1,1,20.429842941943104,0.503816,0.9775111910295574,5789235,9.346350113476019,0.4574851671662963,10
1,6,ddr4,127778021,1.0607195113782517,6,6,1,1,20.7058718821175,0.643724,0.9762193450921057,6947664,11.135573833938155,0.537797871895234,6
1,7,ddr4,130114440,1.0416725461063354,7,7,1,1,21.345437027003914,0.843881,0.9700363804550783,8103529,12.754946639281542,0.5975490978772361,7
1,8,ddr4,131788541,1.0284402495965108,8,8,1,1,21.783112371422128,1.052772,0.9715928188217025,9267730,14.402095126009478,0.6611587398733704,8
1,9,ddr4,138065274,0.9816852281044979,9,9,1,1,23.504542867654568,1.54074,0.9716169757801573,10415592,15.450034464133248,0.6573212059952286,9
1,10,ddr4,151777741,0.8929941841735541,10,10,1,1,27.18068674189287,2.392616,0.9573704331876668,11584527,15.631482679663812,0.5750952074206213,10
1,11,ddr4,167543941,0.808961751711451,11,11,1,1,31.434714244373694,3.225397,0.9127651590160045,12751217,15.586652826794852,0.49584203965158075,11
1,12,ddr4,179444640,0.755311721765554,12,12,1,1,34.67181017507232,4.03812,0.9021333365162229,13907852,15.873018495286347,0.45780760840397156,6
1,16,ddr4,237103144,0.5716357772126379,16,16,1,1,50.19126958784613,7.258169,0.7642304144579121,18552780,16.025132690775287,0.31928127784708976,8
1,24,ddr4,344756477,0.3931373274823202,24,24,1,1,79.13001889812435,13.244064,0.5727843387105108,27831598,16.53315209622588,0.2089365366828918,6
1,32,ddr4,453946720,0.2985738943107685,32,32,1,1,108.37032049055111,19.863159,0.4717728769615059,37119475,16.746609558055624,0.15453132815562517,8
